PID: 33157, CPU Usage: 0.00%, Memory RSS: 43.62 MB, Memory Usage: 0.55%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.88%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.10%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.07%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.07%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.38 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.07%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.10%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.50 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.10%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.95%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.07%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 24.98%, Memory RSS: 45.62 MB, Memory Usage: 0.57%
PID: 33157, CPU Usage: 25.00%, Memory RSS: 45.62 MB, Memory Usage: 0.57%

Average CPU Usage: 24.79%
Average Memory RSS: 45.39 MB
Average Memory Usage: 0.57%
